iter	RMSE
0	0.391852501
1	0.3800740331
2	0.3697045712
3	0.3587489744
4	0.3491200705
5	0.3394376228
6	0.330124759
7	0.3204533724
8	0.312158279
9	0.3028587006
10	0.2945376546
11	0.2875675109
12	0.2804627305
13	0.2735864604
14	0.2671669332
15	0.2601147889
16	0.2543498495
17	0.2492296294
18	0.2436277498
19	0.2381694651
20	0.2335298461
21	0.2283793999
22	0.2233984932
23	0.2190249212
24	0.2149981096
25	0.2104976371
26	0.2066176097
27	0.2028307179
28	0.1990569336
29	0.1954609828
30	0.1921153382
31	0.1888635581
32	0.1861797401
33	0.1835323035
34	0.1809823831
35	0.1783535391
36	0.1761233981
37	0.1738342903
38	0.1712437923
39	0.1689060263
40	0.1667797826
41	0.1647008299
42	0.1625759048
43	0.1607386932
44	0.1585572467
45	0.1565348801
46	0.154637369
47	0.1533992364
48	0.1519155115
49	0.1502998804
50	0.1489217518
51	0.1475244777
52	0.1461631251
53	0.1447084117
54	0.1435383566
55	0.1422125954
56	0.141057009
57	0.1399110428
58	0.1388780177
59	0.1377891819
60	0.1367760923
61	0.1359177341
62	0.1350258948
63	0.1342739663
64	0.1329864486
65	0.1320252154
66	0.1310645761
67	0.1300333771
68	0.1292951172
69	0.1283280445
70	0.1275794062
71	0.1266442337
72	0.1258467385
73	0.1251540353
74	0.1246021673
75	0.1238891311
76	0.1230041575
77	0.1222913272
78	0.1217355008
79	0.1209888776
80	0.1203284633
81	0.1197715612
82	0.1190950861
83	0.1185605064
84	0.1179614327
85	0.1172436568
86	0.1167696552
87	0.1162205465
88	0.1156739995
89	0.1153507905
90	0.1147661331
91	0.1143869893
92	0.1138740301
93	0.1133361664
94	0.1128358548
95	0.1124129425
96	0.1120330924
97	0.1116839221
98	0.1112265639
99	0.1106113789
100	0.1102565202
101	0.1099285435
102	0.109673191
103	0.1091404931
104	0.1085952024
105	0.1082116484
106	0.108057593
107	0.1076852896
108	0.1072522425
109	0.1068648341
110	0.106506467
111	0.1063507822
112	0.1059576794
113	0.1056251169
114	0.105275574
115	0.104845895
116	0.1045303144
117	0.1042307406
118	0.1038573438
119	0.1035196863
120	0.1030414302
121	0.1026464464
122	0.1022898691
123	0.1022172837
124	0.1020334912
125	0.1017322386
126	0.101445146
127	0.101201592
128	0.1008295299
129	0.100459686
130	0.1001975707
131	0.09983729049
132	0.09955993741
133	0.09942468579
134	0.09892356326
135	0.09874367058
136	0.09842374169
137	0.09826510936
138	0.09815557431
139	0.09794463961
140	0.09759522612
141	0.09748976917
142	0.09713661333
143	0.09667132076
144	0.09648826199
145	0.09614077188
146	0.09579767936
147	0.09559263331
148	0.09528577244
149	0.09503968158
150	0.09488147357
151	0.0946947481
152	0.09419709711
153	0.09379299582
154	0.09354005054
155	0.09329362762
156	0.09302279316
157	0.09276566379
158	0.09259255949
159	0.09247619714
160	0.0923299009
161	0.09212471524
