iter	Passed	Remaining
424	3023	533
425	3029	526
426	3036	519
427	3043	512
428	3050	504
429	3058	497
430	3066	490
431	3073	483
432	3079	476
433	3087	469
434	3094	462
435	3101	455
436	3108	448
437	3115	441
438	3122	433
439	3129	426
440	3136	419
441	3143	412
442	3151	405
443	3158	398
444	3165	391
445	3172	384
446	3179	376
447	3186	369
448	3192	362
449	3199	355
450	3207	348
451	3214	341
452	3221	334
453	3227	327
454	3234	319
455	3241	312
456	3248	305
457	3255	298
458	3263	291
459	3270	284
460	3276	277
461	3283	270
462	3290	262
463	3297	255
464	3304	248
465	3311	241
466	3318	234
467	3325	227
468	3332	220
469	3339	213
470	3346	206
471	3353	198
472	3360	191
473	3367	184
474	3374	177
475	3381	170
476	3389	163
477	3395	156
478	3402	149
479	3409	142
480	3417	134
481	3424	127
482	3431	120
483	3438	113
484	3445	106
485	3452	99
486	3459	92
487	3466	85
488	3473	78
489	3480	71
490	3487	63
491	3494	56
492	3501	49
493	3508	42
494	3515	35
495	3522	28
496	3529	21
497	3536	14
498	3542	7
499	3550	0
